Number,Concept Label,Definition
1,A-POSSESSIVE,"marker of attributive (nominal) possession; this includes genitive, associative and connective functions (both head and dependent marking)"
2,ABLATIVE (SPATIAL),marker introducing a spatial (source) participant; ‘(away) from’; also ‘from above/below/inside’
3,ABLATIVE (TEMPORAL),"marker introducing a temporal (source) participant; ‘from’, ‘since’"
4,ABSOLUTE QUANTITATIVE,quantifier; marker of 'absolute quantitative intensification'; 'a lot'
5,ABSTRACT POSTPOSITION,Preposition with an abstract meaning used for different ‘oblique’ case relations
6,ACCORD (CASE/CONJUNCTION),"marker introducing a (nominal or clausal) participant with a function which can be paraphrased as ‘as stated in/by, as laid down in, conforming to, according to’"
7,ADHESIVE,marker specifying the spatial relation of participants invoking the notion of  'affixed attachment'; '(on)to/against'
8,ADJECTIVIZER,"marker used to derive adjectives from verbs, nouns, and other categories"
9,ADVERBIALIZER,"marker used to derive adverbs from verbs, nouns, adjectives and other categories"
10,AFTER,"marker introducing an anterior temporal participant; ‘later than’, ‘after’"
11,AGENT (CASE),"marker for a participant that instigates or performs the action described by the main verb – comprising nominatives (and similar) as well as oblique agents, but excluding ergatives, which are treated separately; ‘by’"
12,AGREEMENT,"marker of grammatical agreement, i.e. of grammatical properties of main participants like person, number, gender, or class, (typically but not necessarily) on the verb"
13,ALIENABLE,"marker differentiating alienable, i.e. tranferrable possession from inalienable or inherent possession"
14,ALLATIVE,"marker introducing a spatial (directional) participant; ‘direction toward, to’"
15,ALSO,"marker modifying nouns and other categories; ‘also’, ‘too’, ‘as well’"
16,ANDATIVE,"marker for a movement away from the speaker or deictic centre; sometimes called itive, translocative; ‘motion thither’"
17,ANTICAUSATIVE,"marker reducing the valency of a verb, typically by one participant, typically the agent"
18,ANTIPASSIVE,"marker reducing the valency of a verb, demoting the patient of a transitive verb, potentially turning the agent into the only argument of the verb"
19,APPLICATIVE,"marker increasing the valency of a verb, typically by one participant, whose function is often restricted (ablative, benefactive, comitative, goal, locative, ...)"
20,ASSOCIATED MOTION,marker expressing that the predicate is conceptualized as the purpose of a motion
21,ATTENUATIVE (ASPECT),"marker indicating that the action is attentuated, eased, shortened, etc.; ‘a bit’"
22,AUGMENTATIVE,"marker indicating increased size of an entity; ‘bigger, larger than normalʼ"
23,AVERTIVE,"marker indicating that an action or event was on the verge of taking place but did not take place; ‘almost, nearly’"
