ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,LGR_Conformance,Comment,Source,Source_comment
23055-kam-kvm-future,abyanei,čūn tūp sedāy ziād a ... kömö tārsā,čūn	tūp	sedāy	ziād	a	...	kömö	tārsā,as	canon	voice	much	COP.3SG	…	FUT.3SG	fear.PST,"since the noise of the cannon is enormous, he'll be afraid",,,,bisang_10_2020[484],
10031-done-done-completive,africanamericanvernacularenglish,That snake done bit me again.,That	snake	done	bit	me	again.,that	snake	COMPL	bite.PST	me	again,That snake has bitten me again,,,,bisang_27_2020[1115],
11002-qqaj-qaj-comitative,aghul,gada.ji-qaj,gada.ji-qaj,boy.OBL-COMIT,with the boy,,,,bisang_6_2020[316],
11003-sa-sa-indefinite,aghul,me ag-u-naa sa dijarkːa-jar.i-s,me	ag-u-naa	sa	dijarkːa-jar.i-s,this.ABS	saw-PF-PRF	one	milkmaid-PL.OBL-DAT,Some milkmaids saw her.,,,,bisang_6_2020[317],
11004-ejcin-jcin-indefinite,aghul,fi.tːi-s ejči,fi.tːi-s	ejči,what.OBL-DAT	COP:COND(=INDEF),"(to) somewhere, to some place",,,,bisang_6_2020[318],
11007-kancira-kancira-indefinite,aghul,fi kːanči꞊ra,fi	kːanči꞊ra,what	INDEF=ADD,anything,,,,bisang_6_2020[319],
11009-ra-ra-pronounnegation,aghul,fi꞊ra,fi꞊ra,what=ADD,nothing,,,,bisang_6_2020[319],
11014-ra-ra-collectivenumeral,aghul,ʡu gada꞊ra qaj-ne,ʡu	gada꞊ra	qaj-ne,two	boy.ABS=ADD	RE:come:PF-AOR,both boys came,,,,bisang_6_2020[320],
11015-aqas-aqas-causative,aghul,baw.a gada.ji-f-as šurpa ʕut'a-s q'-u-ne,baw.a	gada.ji-f-as	šurpa	ʕut'a-s	q'-u-ne,mother.ERG	boy.OBL-APUD-ELAT	broth.ABS	eat-INF	do-PF-AOR,Mother made the boy eat the soup (e.g. by threats).,,,,bisang_6_2020[322],
11022-nae-ne-past,aghul,aq'-u-ne,aq'-u-ne,do-PF-AOR,did,,,,bisang_6_2020[326],
11024-naa-naanajanaanaaanaaja-perfectaspect,aghul,aq'-u-na a,aq'-u-na	a,do-PF-CONV	IN.be.PRS,has done,,,,bisang_6_2020[326],
11032-sij-sij-irrealis,aghul,aq'a-s-ij,aq'a-s-ij,do-INF-COP:PST,would have done,,,,bisang_6_2020[328],
11039-ajaaje-aj-evidentialreported,aghul,rukː-a-j-e꞊ʁaj,rukː-a-j-e꞊ʁaj,slaughter-IPF-CONV-COP=REP,"they slaughter (a sheep), they say",,,,,Maisak (personal communication)
11041-ciag-cugcukcuq-verificative,aghul,gi ʕut'u-naj-čuk',gi	ʕut'u-naj-čuk',DEM.ERG	eat.PF-PRF-VERIF.IMP,Check whether he has eaten.,,,,bisang_6_2020[334],
11045-q-qqaquqi-iterative,aghul,q-aq'a-s,q-aq'a-s,RE-do-INF,do again,,,,bisang_6_2020[338],
11047-gah-gunaganaguni-subordinator,aghul,aq'-u-guna,aq'-u-guna,do-PF-TEMP,when (someone) did,,,,bisang_6_2020[339],
11054-jaq-jaq-durative,aghul,k'eǯ-ar lik'-a-j q'a-s-e,k'eǯ-ar	lik'-a-j	q'a-s-e,letter-PL	write-IPFV-CVB	do-INF-COP,"(He leaves, but) he will write letters now and then.",,,,,Maisak (personal communication)
11055-aqas-aqas-proverb,aghul,"up-u gi bat'ar gaf-ar q'-a-a, amma...","up-u	gi	bat'ar	gaf-ar	q'-a-a,	amma...",say-PF	that.ERG	beautiful	word-PL	do-IPF-PRS	but,"As for saying, he says (lit. does) very beautiful words, but…",,,,,Maisak (personal communication)
11059-sa-sa-only,aghul,aχpːa sa muq'u-tː-ar χul.a-s ʕʷ-a-je-f-e,aχpːa	sa	muq'u-tː-ar	χul.a-s	ʕʷ-a-je-f-e,then	only	relative-NMLZ-PL	house-DAT	go-IPFV-PTCP:PRS-NMLZ-COP,"After that, only relatives enter the house.",,,,,Maisak (personal communication)
11060-sara-sara-other,aghul,sara kːastːüm qa-du?,sara	kːastːüm	qa-du?,other	costume	POST.be-PRS:NEG,do you have any other costume?,,,,,Maisak (personal communication)
11061-sa-sa-same,aghul,hal wuri sa-d x-a-f-tːawa,hal	wuri	sa-d	x-a-f-tːawa,now	all	one-NMLZ	become-IPFV-NMLZ-COP:NEG,Everyone is not the same (= all is not one).,,,,,Maisak (personal communication)
10036-onge-onge-reflexive,angolar,Ê kôntê ôngê rê me.,Ê	kôntê	ôngê	rê	me.,3SG	hate	body	his	self,He hates himself.,,,,bisang_27_2020[1115],
11012-bosdub-bosdub-ordinalnumeral,archi,ɬeb-dosdub,ɬeb-dosdub,three-ORD,third,,,,bisang_6_2020[320],
11037-os-os-epossibility,archi,to‹w›mu ručka-tːu šːetːe-li χo-qi,to‹w›mu	ručka-tːu	šːetːe-li	χo-qi,<I>that.ERG	pen-PL.ABS	buy.PF-CONV	IV.find.PF-FUT.POT,He has probably bought pens.,,,,bisang_6_2020[331],
11040-ak-k-verificative,archi,to‹w›mu baˁk' bu-ʟ'u-r-kːu-qi zari,to‹w›mu	baˁk'	bu-ʟ'u-r-kːu-qi	zari,<I>that.ERG	ram.ABS	III-slaughter.PF-Q-VERIF-POT.FUT	I.ERG,I will check whether he slaughtered a ram.,,,,bisang_6_2020[333],
11052-eqen-eqen-allative,archi,to-r d-aqˁa maʁa-k e‹r›q'en,to-r	d-aqˁa	maʁa-k	e‹r›q'en,that-II.SG.ABS	II.SG-come.PF	magar-LAT	<II.SG>up.to,She went up to the Magar village.,,,,,Maisak (personal communication)
17001-loka-log-plural,awadhi,baccā log,baccā	log,child	PLURAL,Children,,,,bisang_11_2020[506],
1013-qka-qka-habitual,ayacuchoquechua,riku-su-q ka-nki,riku-su-q	ka-nki,see-INV-AGENT	be-2SUBJ,He used to see you.,,,,bisang_23_2020[998],
1015-na-na-dnecessity,ayacuchoquechua,puñu-na-yki-m ka-rqa,puñu-na-yki-m	ka-rqa,sleep-FUT.NMLZ-2SUBJ	be-PAST,You had to sleep.,,,,bisang_23_2020[1000],
1025-huk-huk-other,ayacuchoquechua,huk runa-kuna,huk	runa-kuna,one	person-PL,other people,,,,,Adelaar (personal communication)
23009-ya-i-definite,bactrian,i vaγ šā Kanēški,i	vaγ	šā	Kanēški,ART	lord	king	Kanishka.OBL,the lord king Kanishka,,,,gholami2011definite,
24006-mian-men-relativizer,balantak,mian [men mang-asok rombia'] …,mian	[men	mang-asok	rombia']	…,person	REL	AV.IRR-plant	sago.tree	…,People who plant sago trees …,,,,bisang_25_2020[1069],
23026-prsta-pust-behind,balochi,lōg-ē pušt-ā,lōg-ē	pušt-ā,house.GEN	back-OBL,behind the house,,,,,Korn (personal communication)
23029-aiagata-ayat-changeofstate,balochi,dar ā goš-ī,dar	ā	goš-ī,out	come.PRS3SG	say.PRS-3SG,"s/he sets out to speak, starts to speak",,,,korn_notes_2019[648],
23032-vinfia-vinfia-future,balochi,man rawag-ī ą,man	rawag-ī	ą,I	go.INF-PTCP.FUT	COP1SG,I am about to go,,,,jahani_baloch_2008[677],
23033-vinfiint-vinfiint-dnecessity,balochi,manā rawag-ī int,manā	rawag-ī	int,I.DAT	go.INF-PTCP.FUT	COP3SG,I have to go,,,,jahani_baloch_2008[677],
23034-vinfaa-vinfaa-progressive,balochi,gušag-ā ã,gušag-ā	ã,say.INF-OBL	COP1SG,I am saying,,,,jahani_baloch_2008[675],
23045-syuta-sut-changeofstate,balochi,šod-a zed-ag-an,šod-a	zed-ag-an,go-PRF	seize-PRF-3PL,went and fetched them (set out to get them),,,,korn_notes_2019[647],
23050-sarah-sar-upspatial,balochi,lōg-ē sar-ā,lōg-ē	sar-ā,house.GEN	head-OBL,on (top of) the house,,,,,Korn (personal communication)
23051-hrsta-ist-completive,balochi,gam-ān gētk o išt,gam-ān	gētk	o	išt,grief-OBL.PL	bring.PST	and	leave.PST,left (us) in grief (grief seized and left),,,,korn_notes_2019[647],
23053-bil-bil-dpossibility,balochi,b-el=ī hoš-ą,b-el=ī	hoš-ą,SBJV-leave.IMP2SG=PC3PL	dry.PRS-3PL,let them become dry,,,,korn_notes_2019[646],
23059-aiwa-e-singulativenumber,balochi,lōg=ē,lōg=ē,house=IND,a/one house / a specific house,,,,,Korn (personal communication)
23060-wacyayati-gusi-evidential,balochi,goš-ī šēr ē šo,goš-ī	šēr	ē	šo,say.PRS-3SG	lion	DEM	go.PST,Someone says: This lion went away.,,,,korn2019notes,
23061-wacyayati-si-evidential,balochi,š-ī ǰa,š-ī	ǰa,say.PRS-3SG	hit.PST,It is said: [The lion] pushed […],,,,korn2019notes,
23064-nest-nest-completive,balochi,wārt-ant o nešt,wārt-ant	o	nešt,eat.PST-3PL	and	sit.PST,s/he ate them up;  lit. ate them and sat,,,,nourzaei_participant_2017[146],
23065-zurzirzurtzurt-zurzirzurtzurt-completive,balochi,zīr-õ kāy-õ,zīr-õ	kāy-õ,seize.PRS-1SG	come.PRS-1SG,I will bring (her) back (lit. seize and come),,,,korn_notes_2019[648],
23068-lot-lot-dnecessity,balochi,manā likk-ag lōṭī,manā	likk-ag	lōṭī,I.OBJ	write-INF	want-3SG,I should write,,,,jahani_baloch_2008[678],
23044-syuta-su-changeofstate,balochieastern,udarθ=ō šuθ-a,udarθ=ō	šuθ-a,explode.PST=PTC	go.PST-PRF,exploded,,,,bisang_10_2020[473],
23028-aiagataki-ayatki-futurenear,balochiwestern,āt ki dār-ānā baḍḍ kan-t,āt	ki	dār-ānā	baḍḍ	kan-t,come.PST.3SG	SUB	wood-OBJ.PL	back	do.PRS-3S,he was going to load up the wood on his back,,,,jahani_baloch_2008[674],
23062-wacyanti-gusant-evidential,balochiwestern,goš-an(t) ...,goš-an(t)	...,say.PRS-3PL	...,They (people) say: …,,,,nourzaei_participant_2017[141],
18008-si-si-indefinitepronounnegative,bambara,Tùbàbù sí má nà,Tùbàbù	sí	má	nà,European	any	CPL.NEG	come,No European came.,,,,bisang_16_2020[703],
18011-c-c-between,bambara,Mùn bɛ́ ù cɛ́?,Mùn	bɛ́	ù	cɛ́?,what	LCOP	3PL	between,What is there between them?,,,,,Creissels (personal communication)
18012-bolo-bolo-abstractpostposition,bambara,Wárî bɛ́ à bóló.,Wárî	bɛ́	à	bóló.,money.D	LCOP	3SG	at,He has money.,,,,,Creissels (personal communication)
18013-k-k-behind,bambara,jírî kɔ́,jírî	kɔ́,tree.D	behind,behind the tree,,,,,Creissels (personal communication)
18014-kn-kn-inspatial,bambara,bôn kɔ́nɔ́,bôn	kɔ́nɔ́,room.D	in,in the room,,,,,Creissels (personal communication)
18016-kun-kun-upspatial,bambara,À bɛ́ ń kǔn.,À	bɛ́	ń	kǔn.,3SG	LCOP	1SG	on,I have it on me.,,,,,Creissels (personal communication)
18017---frontcase,bambara,mɔ̀gɔ̂-ú ɲɛ́,mɔ̀gɔ̂-ú	ɲɛ́,person.D-PL	in.front.of,in front of people,,,,,Creissels (personal communication)
